id,text,category,confidence,source
96d728cba368-0,"IN THE HIGH COURT AT NAIROBI
MILIMANI LAW COURTS
CIVIL DIVISION (APPELLATE SIDE)
CORAM: D. S. MAJANJA J.
CIVIL APPEAL NO. E137 OF 2023 
CONSOLIDATED WITH 
CIVIL APPEAL NO. E140 OF 2023
BETWEEN
DON PET...",court,53.26%,model
96d728cba368-1,"In a Statement of Claim dated 28.10.2022, the Appellant stated that on 10.06.2022, the motor vehicle was involved in a road traffic accident along Muranga-Thika Road resulting in extensive damages to ...",court,53.04%,model
96d728cba368-2,The Respondent stated that it was an express term in the policy that the Appellant would lose any rights under the policy if it is found that the Appellant made a fraudulent claim or that the Appellan...,court,54.27%,model
96d728cba368-3,"On the reliefs sought by the Appellant, the Adjudicator considered the assessment reports filed by both parties and concluded that it would not make any economic sense to repair the vehicle hence the ...",court,53.03%,model
96d728cba368-4,"Analysis and Determination  
The court’s jurisdiction in dealing with appeals from the Small Claims Court is limited by section 38(1) of the Small Claims Court Act, 2016 which provides that ‘A person ...",court,54.84%,model
96d728cba368-5,"The Respondent relied on the said investigator’s report dated 12.08.2022 while the Appellant supported its case with 13 documents including a copy of the motor vehicle’s logbook, the policy document a...",court,53.12%,model
96d728cba368-6,"As regards the Appellant’s case, the Adjudicator cited Virani t/a Kisumu Beach Resort v Phoenix of East Africa Assurance Company Ltd [2004] eKLR where the Court of Appeal held that a claim for special...",court,54.14%,model
96d728cba368-7,"On towing expenses, I agree with the Learned Adjudicator that even though the Appellant sought Kshs. 22,000.00, what was proved by way of an invoice endorsed with the word “paid” was Kshs. 6,000.00. I...",court,54.17%,model
96d728cba368-8,"Interest on the amount in (1) from the date of filing suit until paid in full
Each party shall bear its own costs.
DATED and DELIVERED at NAIROBI this 17th day of NOVEMBER 2023.
D. S. MAJANJA
JUDGE
Mr...",court,53.98%,model
afd74ef06bb1-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT ELDORET
SUCCESSION CAUSE NO. 66 OF 2020
IN THE MATTER OF THE ESTATE OF JAN CHRIS ESSELINK
BILL ESSELINK………………………….1ST PETITIONER/ADMINISTRATOR
JACKLINE ...",court,53.69%,model
afd74ef06bb1-1,"Motor Vehicle Registration No. KSD 139.
Shares at Kakuzi, Kapchorua Tea Kenya PLC, Sasin PLC, Williamson Tea Kenya PLC, NCBA Group PLC, Stanbic Holdings PLC, Cables Ltd, Kengen PLC, Kenya BOC Kenya Lt...",court,54.37%,model
afd74ef06bb1-2,"Further, as the withdrawal was instigated by one of the administrators, it is imperative that this court emphasize the  duties of administrators as was set out in section 83 of the Law of Succession A...",court,53.57%,model
afd74ef06bb1-3,"In this cause there are three administrators and therefore, any decisions made with regards to the estate must have the input of all three administrators. It is apparent that the withdrawal of funds f...",court,53.12%,model
233d13370baa-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT BUNGOMA
MISC APPLICATION NO.     E109    OF 2018
MARTIN KHAEMBA WEKANYWA-------------------------------APPLICANT
VERSUS
WAMALWA SIMIYU & CO ADVOCATES---...",court,56.55%,model
233d13370baa-1,"In their submissions dated 25th August,2023 the Respondent submitted that the orders as sought by the Applicants were against the court which is mandated to execute its decrees. Reliance was placed in...",court,56.89%,model
233d13370baa-2,“I am afraid the applicant did not seek any orders which may be granted.  His only substantive prayer was for the grant of an interlocutory injunction pending the hearing and determination of this app...,court,57.02%,model
233d13370baa-3,"It is so ordered.
Dated and delivered at Bungoma this 17th day
 Of  November  2023
D.Kemei
Judge
In the presence of
No appearance Motanya  Applicant
Onyando for Wamalwa  Simiyu for Respondent
Kizito  ...",court,53.78%,model
e3807440c46b-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
CAUSE NO. 1596 OF 2018
ERICK OMERI EMIRA ■CLAIMANT 
- VERSUS -
SECUREX AGENCIES (K) LTD ■………….RESPONDENT
(Before Hon....",court,54.08%,model
e3807440c46b-1,"It is the claimant’s case that the respondent did not procedurally terminate his employment. Instead, it relied and focused on the allegations of theft, which allegations caused the claimant to be put...",court,51.06%,model
e3807440c46b-2,"The claimant and his colleague declined to write the resignation letters, and were informed to return to the respondent’s offices on 08.07.2015. 
On 08.07.2015 the claimant returned to the respondent’...",court,51.97%,model
e3807440c46b-3,The claimant did not show up for the disciplinary hearing on 02.07.2015 and no reason was given for the absence. The claimant having failed to appear for disciplinary proceedings and having been absen...,court,52.23%,model
e3807440c46b-4,The Court finds that the claimant’s account upon his own testimony is not challenged at all. It was for the respondent to show that on 02.07.2015 the claimant had failed to attend the disciplinary hea...,court,53.72%,model
e3807440c46b-5,The Court has considered the suffering the claimant went through for the manner he was dismissed and awarded 8 months’ salaries in compensation. The claimant has not shown justification for general da...,court,54.14%,model
c52e9f14d547-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
PETITION NO. E70 OF 2023
(Formerly High Court Petition No. E87 OF 2023 at Milimani)
IN THE MATTER OF CONTRAVENTION OF...",court,54.72%,model
c52e9f14d547-1,"A declaration that the petitioner was maliciously prosecuted and damages for malicious prosecution are payable;
A declaration that the termination of the claimant’s contract of employment was, unlawfu...",court,52.11%,model
c52e9f14d547-2,"The petitioner has since filed a notice of motion dated 07.07.2023 seeking the following orders; 
That the applicant be granted leave to amend its petition as set out in the draft amended petitioner/a...",court,57.62%,model
fd5f76056bb2-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
ELRC CAUSE NO. 1077 OF 2017
TITUS OMONDI WANYAMA■CLAIMANT 
- VERSUS -
ARISTOCRATS CONCRETE LTD ■…………. RESPONDENT
(Bef...",court,52.09%,model
fd5f76056bb2-1,"On the part of the respondent it was argued that the claimant’s letter of offer was a fixed term contract which was to subsist for 3 months each renewable over the period 11.11.2005 to 11.02.2016. 
Th...",court,52.76%,model
fd5f76056bb2-2,To answer the 1st issue the Court returns that parties were in initially in a fixed term contract for three months. The respondent alleges the contracts were renewed over the period of relationship. F...,court,50.49%,model
fd5f76056bb2-3,"To answer the 3rd issue, the Court finds that the termination was unfair. The respondent has offered no evidence to show that the claimant’s services were indeed not required and the reason has not be...",court,53.39%,model
d84f99db50f4-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT BUNGOMA
CIVIL APPEAL NO.71 OF 2023 ■
IMPACT FINANCE TRUST CDF BUMULA………..1ST  APPELLANT/APPLICANT 
BENARD ANALO MAKATIANI T/A 
BENWEIL AUCTIONEERS ……………...",court,55.92%,model
d84f99db50f4-1,The  Respondents  opposed the application vide  a replying affidavit sworn by Benson Simiyu the 2nd respondent on his own behalf and that of the 1st Respondent sworn on 20/7/2023 wherein he averred in...,court,54.68%,model
d84f99db50f4-2,of its discretion as required by the law; that the applicants have not offered any security for the due performance of the decree and costs  that were assessed in the lower court matter plus interest ...,court,56.66%,model
d84f99db50f4-3,The application was canvassed by way of written submissions. The applicants   filed their submissions dated 25th August 2023 while the respondents relied on their replying affidavit sworn on 20th day ...,court,55.81%,model
